"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-5-15575","Band","Blue Lake","Chance","","Boosey & Hawkes, Inc.","5",""
"100-5-15576","Band","Incantation and Dance","Chance","","Boosey & Hawkes, Inc.","5",""
"100-5-15659","Band","Tancredi Overture","Rossini","Falcone","Neil A. Kjos Music Company","5",""
"100-5-15672","Band","Vesuvius","Ticheli","","Manhattan Beach Music","5",""
"100-5-15675","Band","Toccata","Tull","","Boosey & Hawkes, Inc.","5",""
"100-5-15688","Band","Dance of the New World","Wilson","","Ludwig Music Publishing Company","5",""
"100-5-15692","Band","English Dances, Set 1","Arnold","Johnstone","Lengnick","5",""
"100-5-15693","Band","English Dances, Set II","Arnold","Herbert","Lengnick","5",""
"100-5-15694","Band","Four Scottish Dances","Arnold","Paynter","Carl Fischer, Inc.","5",""
"100-5-15695","Band","Peterloo Overture","Arnold","Sayre","G. Schirmer, Inc.","5",""
"100-5-15696","Band","Tam O' Shanter","Arnold","Paynter","Carl Fischer, Inc.","5",""
"100-5-15697","Band","Fantasia in G Major","Bach","Goldman","Theodore Presser Company","5",""
"100-5-15698","Band","Passacaglia and Fugue in c minor","Bach","Falcone","Southern Music Company","5",""
"100-5-15699","Band","Toccata and Fugue in d minor","Bach","Leidzen/Patterson","Multiple Publishers;Carl Fischer, Inc.;Merlin Patterson","5",""
"100-5-15700","Band","Overture to School for Scandal","Barber","Hudson","G. Schirmer, Inc.","5",""
"100-5-15701","Band","Chorale Prelude on a German Folk Tune","Barnes","","Southern Music Company","5",""
"100-5-15702","Band","Dream Journey Op. 98","Barnes","","Southern Music Company","5",""
"100-5-15705","Band","Ronde for Isolde","Bedford","","Novello Publications Inc.","5",""
"100-5-15706","Band","Suite of Old American Dances","Bennett","","Hal Leonard Music, Inc.","5","(play at least four mvts)"
"100-5-15707","Band","Symphonic Songs for Band","Bennett","","Hal Leonard Music, Inc.","5",""
"100-5-15708","Band","The Leaves Are Falling","Benson","","Hal Leonard Music, Inc.","5",""
"100-5-15709","Band","The Passing Bell","Benson","","Multiple Publishers;E.C. Schirmer Music Company;Hal Leonard Music, Inc.","5",""
"100-5-15710","Band","The Solitary Dancer","Benson","","Carl Fischer, Inc.","5",""
"100-5-15711","Band","Beatrice and Benedict Overture","Berlioz","Henning","Carl Fischer, Inc.","5",""
"100-5-15712","Band","Le Carnival Romaine","Berlioz","Godfrey","Edwin F. Kalmus","5",""
"100-5-15713","Band","Candide Suite","Bernstein","Grundman","Hal Leonard Music, Inc.","5",""
"100-5-15715","Band","Overture to Candide","Bernstein","Grundman or Beeler","Multiple Publishers;Hal Leonard Music, Inc.;G. Schirmer, Inc.","5",""
"100-5-15716","Band","Profanation","Bernstein","Bencriscutto","Boosey & Hawkes, Inc.","5",""
"100-5-15717","Band","Three Dance Episodes","Bernstein","Stith/Lavender","Multiple Publishers;Warner Bros. Music Publications Inc.;Boosey & Hawkes, Inc.","5","(POP)"
"100-5-15719","Band","Polovetsian Dances","Borodin","Hindsley","HT","5",""
"100-5-15720","Band","Academic Festival Overture","Brahms","Hindsley","HT","5",""
"100-5-15722","Band","Courtly Dances","Britten","Bach","Boosey & Hawkes, Inc.","5",""
"100-5-15724","Band","William Byrd Suite","Byrd","Jacob","Boosey & Hawkes, Inc.","5","(play mvt 1 & at least three other mvts)"
"100-5-15725","Band","A Movement for Rosa","Camphouse","","TRN Music Publisher","5",""
"100-5-15726","Band","Watchman, Tell Us of the Night","Camphouse","","Neil A. Kjos Music Company","5",""
"100-5-15727","Band","Whatsoever Things...","Camphouse","","Southern Music Company","5",""
"100-5-15728","Band","Danse Slave","Chabrier","Odom","Neil A. Kjos Music Company","5",""
"100-5-15729","Band","Elegy","Chance","","Boosey & Hawkes, Inc.","5",""
