cj1,count
george strickland,1891
danny prado,1869
randy vaughn,1792
jill yancey,1728
rick yancey,1719
wade mcdonald,1667
cindy bulloch,1593
tye payne,1585
cindy lansford,1570
keith bearden,1566
ronnie rios,1485
sherry poteet,1465
barbara lambrecht,1444
rob toups,1443
barry hurt,1419
mike olson,1373
susan scarborough,1301
brandon brewer,1283
tammy fedynich,1258
kathy johnson,1213
mary ellen cavitt,1122
larry barton,1122
joe dolkos,1103
don thoede,1083
teri brockway,1081
jim alexander,1076
greg countryman,1063
roland sandoval,1047
fred pankratz,1045
anthony gibson,1041
june bearden,1032
steve madsen,1023
chuck young,1014
jim cude,1004
phil anthony,1003
jack fariss,999
melodianne mallow,985
john stuckey,977
jean bryant,966
steve andre,953
joe pruitt,952
bill centera,942
james marioneaux,930
kyle friesenhahn,924
greg miller,905
brian merrill,904
gary monroe,904
asa burk,902
charles aguillon,889
carl idlebird,877
rick brockway,876
scott coulson,875
pete tolhuizen,873
mack bibb,856
trent cooper,855
mike lipe,846
don haynes,843
todd clearwater,840
nancy caston,837
rolando molina,835
dennis hopkins,832
dan gibbs,830
tom shine,830
rory davis,829
mark buley,825
rodney bennett,815
gerald babbitt,803
jim blacksher,802
larry matysiak,798
eddie benitez,797
denise stitzel,790
bob parsons,788
bob bryant,772
marty nelson,759
dennis eichler,758
benny davis,758
peter warshaw,754
ben chasan,747
dana pradervand,745
jeff laird,742
van henry,738
jim perry,730
mike brady,725
randy leifeste,716
rocky harris,713
john faraone,706
robbie edwards,705
stacy gist,705
diane baker,702
mark gurgel,701
wallace dierolf,700
charles munsell,698
mike brashear,691
greg dick,688
keith dye,686
rick baker,685
leland sharrock,685
darrington white,679
charlotte royall,678
harold bufe,677
david fortenberry,668
chico portillo,668
javier vera,665
richard crain,663
bethann adams,663
richard herrera,662
penny compton,661
elmer schenk,659
greg hames,658
charles cabrera,656
travis hobson,656
ruben adame,650
henry schraub,645
ross grant,644
steven moore,642
raul rodriguez,638
dick clardy,633
sonny martinez,631
mike lewis,629
mike glaze,627
fran badrak,625
carroll rhodes,625
shannon dow,624
cynthia lansford,623
marianne gould,623
ralph zamarippa,618
david kirkley,618
david eakins,614
pat autry,614
virginia olsovsky,611
jim rhodes,609
ed pagliai,608
kenneth griffin,596
david puckett,596
ray lashaway,595
larry wolf,590
gary williams,587
joe nunez,586
gabe musella,583
cliff franklin,580
robert rubio,579
robert mcelroy,579
shane goforth,579
roxanne vickers,576
sandra brunskill,576
darlene janeski,575
mike bartley,574
james smith,572
cindy mikel,567
sammy almany,563
walter sparkman,561
brian beck,558
betty pierce,555
mark melton,550
scott rhame,550
phil alvarado,549
bob howard,549
sharon kalisek,544
rodney klett,543
alan harkey,543
jim jones,541
jim mcdaniel,540
cliff croomes,538
scott shepherd,538
albert salazar,534
bob straka,532
chris brannan,532
travis smith,520
jonathan kelly,520
john rauschuber,520
gloria ramirez,518
ross boothman,515
glenn lambert,514
mike marsh,513
priscilla bell,513
margaret wis,507
russ rutherford,506
reece nagai,506
david esparza,506
tom sorelle,505
steve hankins,502
manuel san luis,501
dwight hardin,499
carlos luna,498
greg goodman,495
rusty lay,492
david dunham,491
mark poole,491
marcos telles,490
sharon bird,488
daniel galloway,487
roger olivarez,486
kim cooley,484
ann peace,484
donnie artley,480
mike bullock,480
john gossett,480
james nance,478
bill harden,478
collin anderson,476
si millican,475
tom knoflicek,474
dennis beaver,473
david lambert,472
mike lunney,465
faith massey,464
paul worosello,464
ram estrada,464
perry morris,460
chuck kuentz,459
brian pollard,458
jeff dubose,455
charlie munsell,454
jason tucker,453
maria coronado,452
george jones,452
steve sanchez,451
cindy houston,448
oscar herrera,445
charles arsuaga,445
jeremy strickland,443
glen oliver,442
rylon guidry,438
forrester halamicek,436
scott deppe,432
joe menchaca,430
michael brashear,429
mark veenstra,428
stuart bird,424
roger duran,423
james mallow,421
james keltner,420
stan mauldin,419
rob hartman,419
george little,417
paul schmidt,415
bill watson,413
cody myers,413
mark watley,412
ken mclellan,409
marty ball,408
john benzer,407
doug grice,405
jim childers,403
terry maxwell,403
robert vetter,402
