cj1,count,stage_average
george strickland,1891,1.4359925788497216
danny prado,1869,1.7464454976303319
rick yancey,1855,1.4777070063694266
randy vaughn,1792,1.5844155844155845
jill yancey,1728,1.4137931034482758
wade mcdonald,1667,1.6069418386491556
cindy bulloch,1593,1.5662650602409638
tye payne,1585,1.5221354166666667
cindy lansford,1570,1.5395555555555556
keith bearden,1566,1.5602836879432624
ronnie rios,1485,1.4774193548387098
sherry poteet,1465,1.8243559718969555
barbara lambrecht,1444,1.543878656554713
rob toups,1443,1.5338028169014084
barry hurt,1419,1.5012531328320802
mike olson,1373,1.7339971550497866
susan scarborough,1301,1.5663716814159292
brandon brewer,1283,1.6117496807151979
tammy fedynich,1258,1.4496644295302012
kathy johnson,1213,1.6324110671936758
larry barton,1122,1.5202312138728324
mary ellen cavitt,1122,1.5878084179970973
joe dolkos,1103,1.5861386138613862
don thoede,1083,1.5866050808314087
teri brockway,1081,1.4991974317817014
jim alexander,1076,1.54337899543379
greg countryman,1063,1.843465045592705
roland sandoval,1047,1.3461538461538463
fred pankratz,1045,1.7334437086092715
anthony gibson,1041,1.5522151898734178
june bearden,1032,1.4784240150093808
steve madsen,1023,1.4660347551342812
chuck young,1014,1.4143302180685358
jim cude,1004,1.6493775933609958
phil anthony,1003,1.64010989010989
jack fariss,999,1.481042654028436
melodianne mallow,985,1.5906313645621182
john stuckey,977,1.5640449438202246
jean bryant,966,1.4078341013824884
dennis hopkins,954,1.5283993115318417
steve andre,953,1.4845024469820554
ben davis,953,1.5714285714285714
joe pruitt,952,1.6222627737226278
bill centera,942,1.295031055900621
james marioneaux,930,1.9220985691573926
kyle friesenhahn,924,1.3677130044843049
greg miller,905,1.5714285714285714
gary monroe,904,1.4514563106796117
brian merrill,904,1.5055970149253732
asa burk,902,1.3061224489795917
charles aguillon,889,1.4408396946564885
carl idlebird,877,1.7294469357249627
rick brockway,876,1.5520231213872833
scott coulson,875,1.5085910652920962
pete tolhuizen,873,1.5182341650671785
mack bibb,856,1.3992805755395683
trent cooper,855,1.3802521008403361
mike lipe,846,1.5207877461706782
don haynes,843,1.4227941176470589
todd clearwater,840,1.5758620689655172
nancy caston,837,1.680094786729858
rolando molina,835,1.3636363636363635
tom shine,830,1.402948402948403
dan gibbs,830,1.5751789976133652
rory davis,829,1.440909090909091
mark buley,825,1.4522058823529411
rodney bennett,815,1.4833333333333334
gerald babbitt,803,1.5311004784688995
jim blacksher,802,1.89501312335958
larry matysiak,798,1.4854961832061069
eddie benitez,797,1.4066390041493777
