,Event,School,TEA,City,Directors,Conference,Classification,Year,ID,Stage Judge 1,Stage Judge 2,Stage Judge 3,Stage Final,SR Judge 1,SR Judge 2,SR Judge 3,SR Final,Award,Selection 1,Selection 2,Selection 3,oops
0, 100-Concert Band, Benold Middle School, TEA:, Georgetown, Kristina Certain,CC,Non-Varsity ,2014,87302,1,1,1,1,1,1,1,1,D, Manhattan Beach (Sousa/Story), Ghost Ship  (Story), Two Minute Symphony  (Margolis/ ),
1, 100-Concert Band, C.D. Fulkes Middle School, TEA:, Round Rock, Sheng Thao,CC,Non-Varsity ,2014,87648,2,2,2,2,2,2,2,2, , The Golden Eagle March (Edmondson), Majestica  (Gazlay/ ), Modal Song and Dance  (Del Borgo/ ),
2, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Carter Matschek,CCC,Non-Varsity ,2014,87365,1,1,1,1,1,1,1,1,D, Norland March (John Edmondson), Two British Folk Songs  (Anon. or Trad./Del Borgo)," Moscow, 1941  (Balmages/ )",
3, 100-Concert Band, Canyon Ridge Middle School, TEA:, Austin, Joshua Munoz,CCC,Sub Non-Varsity A,2014,87364,1,1,1,1,1,1,1,1,D, Valley Forge March (John Edmondson), Danse Antiqua  (Sharp/ ), Colliding Visions  (Balmages/ ),
4, 100-Concert Band, Canyon Vista Middle School, TEA:, Austin," Laura Stehn / Mollie Ward, Mark Piwetz",CCC,Sub Non-Varsity ,2014,87418,2,1,1,1,1,1,1,1,D, Maesong  (Owens/ ), Gathering In The Glen  (Sweeney/ ), The Band in the Square on the Fourth of July  (LaPlante/ ),
5, 100-Concert Band, Canyon Vista Middle School, TEA:, Austin, Mollie Ward,CCC,Non-Varsity ,2014,87455,1,1,1,1,1,1,1,1,D, March of the Grand High Poobah (Holsinger), Two Irish Sketches (play mvt 2 only) (Black/ )," Moscow, 1941 (Balmages)",
6, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, Britni Dunn,CCC,Sub Non-Varsity ,2014,87544,2,1,1,1,1,1,1,1,D, Serengeti Dreams  (Smith/ ), Mythos  (Bernotas/ ), Manchester March (Edmondson),
7, 100-Concert Band, Cedar Park Middle School, TEA:, Cedar Park, David Barnes,CCC,Non-Varsity ,2014,87561,1,1,1,1,1,1,1,1,D, Espana Cani (Narro/Story), A Joyful Journey  (Sheldon/ )," Moscow, 1941  (Balmages/ )",
8, 100-Concert Band, Cedar Valley Middle School, TEA:, Austin, Ronnie Pruitt,CCC,Non-Varsity ,2014,87092,1,2,1,1,1,1,1,1,D, Fort Canterbury March (Holsinger), Allegretto (from Symphony No. 7)  (Beethoven/Court), Journey Down Niagara  (Tucker/ ),
9, 100-Concert Band, Chisholm Trail Middle School, TEA:, Round Rock, Jared Adams,CCC,Non-Varsity ,2014,87487,2,1,1,1,1,1,1,1,D, The Cavalry March (White), Cumberland Cross  (Strommen/ ), Joy  (Ticheli/ ),
10, 100-Concert Band, Chisholm Trail MS, TEA:, Round Rock, Ellen Briggs,CCC,Sub Non-Varsity ,2014,87486,1,1,1,1,1,1,2,1,D, Wedgwood March (Owens), Ming Court  (Pitter/ ), Pinnacle  (Grice/ ),
11, 100-Concert Band, Decker Middle School, TEA:, Austin, Chris Thomsen,CC,Sub Non-Varsity ,2014,87411,1,1,3,1,3,2,3,3,2, Exhortation (Gazlay), Canon of Peace (Jennings), Cold Brook March (O'Reilly),
12, 100-Concert Band, Decker Middle School, TEA:, Austin, Renferd Joseph / I. Medina/C. Thomsen, Acc:None,CC,Non-Varsity B,2014,87433,1,2,2,2,1,1,2,1,2, Welcome March (Larry Clark), Reflections (Swearingen/ ), Black Forest Overture (Sweeney/ )
13, 100-Concert Band, Deerpark Middle School, TEA:, Austin, Matt Barnhart,CC,Non-Varsity ,2014,87850,2,1,1,1,1,1,1,1,D, Brandy Station March (Edmondson), Big Sky Round-Up (Sheldon), Colliding Visions (Balmages),
14, 100-Concert Band, Elgin Middle School, TEA:, Elgin," Jillian Baaklini / William Lewis, Armando Martinez, Rodney Parker",CC,Non-Varsity ,2014,87317,2,2,2,2,1,2,3,2, , Cold Brook March (John O'Reilly), Summit Fanfare  (Owens/ ), Majestica  (Gazlay/ ),
15, 100-Concert Band, Farley Middle School, TEA:, Hutto, Brandt Zook / Sean Smith and Christy Anderson,CC,Sub Non-Varsity ,2014,88660,1,2,1,1,1,2,2,2,2, Infinity March (Curnow), Ghost Ship  (Story/ ), Uskudar  (Anon. or Trad./Smith/Story),
16, 100-Concert Band, Farley Middle School, TEA:, Hutto, Sean Smith / Christy Anderson and Brandt Zook,CC,Non-Varsity ,2014,88664,2,2,2,2,1,2,2,2, , Colliding Visions  (Balmages/ ), Whirlwind (Blackshaw/ ), New South Wales March (Edmondson),
17, 100-Concert Band, Forbes Middle School, TEA:, Georgetown, Edsel Rivera / Jackie Fullerton,CC,Non-Varsity ,2014,87891,1,2,2,2,1,1,1,1,2, March of the Cardinals (Douglas A. Bradley), Cascadia Celebration  (Hodges/ ), Colliding Visions  (Balmages/ ),
18, 100-Concert Band, Four Points Middle School, TEA:, Austin, Jessica Gonzales,CC,Non-Varsity ,2014,87366,1,1,1,1,1,1,1,1,D, Norland March (Edmondson), Heroes Triumphant  (Owens/ )," Moscow, 1941  (Balmages/ )",
19, 100-Concert Band, Grisham Middle School, TEA:, Austin, Brigette Parsons,CC,Non-Varsity ,2014,87456,1,1,1,1,1,1,1,1,D, A March on the King's Highway (La Plante), A Sailor's Odyssey  (Bobrowitz), La Madre de los Gatos  (Beck),
20, 100-Concert Band, Henry Middle School, TEA:, Cedar Park, Christina Wishart,CCC,Sub Non-Varsity ,2014,87902,1,1,1,1,1,1,1,1,D, Summit Fanfare (William Owens), Storm Mountain Jubilee (Carl Strommen), Activity March (Harold Bennett/Larry Clark),
21, 100-Concert Band, Henry Middle School, TEA:, Cedar Park, Ryan Straten,CCC,Non-Varsity ,2014,87893,1,1,1,1,1,1,1,1,D," Simple Gifts, Four Shaker Songs, Mvt. III, IV (Ticheli/ )", Portsmouth Reflections  (Oare/ ), March of the Buccaneers (),
22, 100-Concert Band, Hernandez Middle School, TEA:, Round Rock," Jett Walker / Carly Boeselt, Lauren Esparza", Acc:N/A,CC,Non-Varsity ,2014,87493,2,1,1,1,1,1,1,1,D, Fortis  (Gazlay/ ), Dance Celebration  (Smith/ ), Captain Dane March (Owens )
23, 100-Concert Band, Hudson Bend Middle School, TEA:, Austin, Josh Mello,CC,Non-Varsity ,2014,87116,1,1,1,1,1,1,1,1,D, American Spirit March (Higgins), Fire Dance (Akey), The Band in the Square on the Fourth of July  (LaPlante/ ),
