,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Aldine Middle School, TEA:, Houston, Ashley Scambray / Gordon Haney,CCC,Non-Varsity ,2015,98754,1,2,2,2,1,2,2,2, , Golden Eagle March (Edmondson), Crusade  (Gassi/ ), Odyssey  (Branchfield/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
1, 100-Concert Band, Aldine MS, TEA:, Houston, Gordon Haney / Ashley Scambray,CCC,Varsity ,2015,98747,1,1,1,1,1,1,1,1,C, The Brandenburg Gate (Johnnie Vinson), As Twilight Falls  (Sheldon), Catch The Wind  (Hannickel),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
2, 100-Concert Band, Atascocita MS, TEA:, Humble, Cameron Wolfe / Aaron Barnes,CCC,Varsity ,2015,99656,1,1,1,1,1,2,1,1,C, Coast Guards (Karl King), Japanese Pictures  (Mixon/ ), Highland Legend  (Moss/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
3, 100-Concert Band, Atascocita MS, TEA:, Kingwood, Aaron Barnes / Cameron Wolfe,CCC,Non-Varsity ,2015,97969,1,1,1,1,1,1,1,1,D, Liberty Eagle March (Michael Oare), Elizabethan Dance  (Mark Williams ), Ghost Ship  (Michael Story),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
4, 100-Concert Band, Barbers Hill MS North, TEA:, Mont Belvieu, Cliff Horn / David Johnson,CC,Varsity ,2015,99601,2,1,1,1,1,1,1,1,C, Norland March (Edmondson), Colliding Visions  (Balmages/ ), Pevensey Castle  (Sheldon/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
5, 100-Concert Band, Barbers Hill MS South, TEA:, Mont Belvieu," Jaime Yim-Talbert / Lisa Stone, Sebastian Lopez",CC,Varsity ,2015,98529,1,2,1,1,1,1,1,1,C, General Lee (King), A Basque Lullaby  (Forrest/ ), Our Kingsland Spring  (Hazo/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
6, 100-Concert Band, Barbers Hill MS South, TEA:, Mont Belvieu, Lisa Stone / Jaime Talbert,CC,Non-Varsity ,2015,98548,3,2,2,2,1,1,1,1,2, Brandy Station March (Edmondson), Phantom Ship  (Del Borgo/ ), Serengeti Dreams  (Smith/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
7, 100-Concert Band, Creekwood Middle School, TEA:, Kingwood," Missy Allen / Byron Clements, Ariel Jackson",CCC,Varsity ,2015,97307,1,1,1,1,1,1,1,1,C, Prestissimo (KL King), Our Kingsland Spring (Hazo), In the Center Ring (Sheldon),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
8, 100-Concert Band, Creekwood MS, TEA:, Kingwood, Ariel Jackson / Missy Allen and Byron Clements,CCC,Sub Non-Varsity A,2015,97371,3,4,3,3,2,2,2,2, , March from  (Gustav Holst/Michael Story), Uskudar (Smith/Story), Fire Dance (Akey),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
9, 100-Concert Band, Creekwood MS, TEA:, Kingwood, Byron Clements,CCC,Non-Varsity ,2015,97328,1,1,1,1,1,1,1,1,D, Copper Creek (Edmondson), Hypnotic Fireflies  (Balmages/ ), Pinnacle  (Grice/ ),DATE of EVENT 03/03/2015 ,Region: 19,1. Lance Finley,2. Jonathan Kelly,3. Rachel Scotchmer,1. Priscilla Bell,2. Rick Brockway,3. Jim Pritchard,
