,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0, 100-Concert Band, Alvin JH, TEA:, Alvin, Kyle Norman / Jessicah Saldana/Lee Willis,CC,Varsity ,2020,158663, , , , , , , , , , Coast Guards (Karl King/James Swearingen), Glaciers (Scott Director), Latin Folk Song Trilogy (William Himes),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
1, 100-Concert Band, Angleton Junior High, TEA:, Angleton," James Frasier / Collin Beavers, Emilio Monreal",CCC,Varsity ,2020,159871, , , , , , , , , , E Pluribus Unum (Jewell/Shaffer), Marching Song (Holst/Moss)," Moscow, 1941 (Balmages)",DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
2, 100-Concert Band, Bayside Intermediate, TEA:, League City, Kyle Mapp,CC,Varsity ,2020,157937, , , , , , , , , , Invictus (Karl L. King/Glover), Baron Piquant on Pointe (Donald Grantham ), Laideronnette: Imperatrice des Pagodes  (Maurice Ravel/ Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
3, 100-Concert Band, Blocker Middle School, TEA:," Texas City, Texas 77590", Jose Chaidez,CCC,Varsity ,2020,156214, , , , , , , , , , Honor March (Sandy Feldstein / Larry Clark), Japanese Pictures (18467)  (Mixon), Fireball! (19604)  (Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
4, 100-Concert Band, Brookside Intermediate School, TEA:, Friendswood, Andie Troutman / Jennifer Rogers,CCC,Varsity ,2020,156493, , , , , , , , , , The Red Cape (James Meredith), Our Kingsland Spring (15850)  (Hazo), Japanese Pictures (18467)  (Mixon),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
5, 100-Concert Band, Clear Creek Intermediate, TEA:, LEAGUE CITY, Chad Bowen / Courtney Mantle,CC,Varsity ,2020,158231, , , , , , , , , , Tanchozuru (20595)  (Standridge), Fireball! (19604)  (Beck), The Red Cape (Meredith),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
6, 100-Concert Band, Clear Lake Intermediate School, TEA:, Houston," Doug Parmer / Chris Davis, Andrew Keller",CC,Varsity ,2020,156586, , , , , , , , , , Gallant Marines (King/Swearingen), Scenes from the American West (21581) (play at least 2 mvts.) (Wilds), Steel (18213)  (Standridge),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
7, 100-Concert Band, Clute Intermediate School, TEA:, Clute," Daniel Fernandez / Thomas Torres, Aundray Edwards",CC,Varsity ,2020,157519, , , , , , , , , , El Conquistador (William Owens ), Japanese Pictures (18467)  (Mixon), Into the Arctic (20710)  (Balmages),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
8, 100-Concert Band, Collegiate Academy @ Weis, TEA:, Galveston, Justin Davis,CC,Varsity ,2020,156122, , , , , , , , , , Destiny Fanfare (Mekel Rogers), Mystery Ride (18192)  (White), Fireball! (19604)  (Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
9, 100-Concert Band, Creekside, TEA:, League City, Ana Tran / Thomas Macias,CC,Varsity ,2020,157041, , , , , , , , , , Alamo March (King/Swearingen), Deir in De (186)  (Anon. or Trad./Barker), La Madre de los Gatos (17509)  (Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
10, 100-Concert Band, Dr. Ronald McNair Junior High, TEA:, Pearland, Julie Jezek,CCC,Varsity ,2020,160501, , , , , , , , , , Prestissimo (Karl L. King), Earth Song (18474)  (Ticheli), Imaginarium (20603)  (Standridge),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
11, 100-Concert Band, Fairview Junior High, TEA:, Alvin," Jeremy Kitchens / Rebecca Capritto, Lee Willis",CC,Varsity ,2020,160529, , , , , , , , , , The Trombone King (King/Paynter)," Simple Gifts, Four Shaker Songs (Ticheli)", La Tregenda (Puccini/Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
12, 100-Concert Band, Friendswood Junior High, TEA:, Friendswood," Thomas Landfried / Jason Abbott, Wayne Steinke",CCC,Varsity ,2020,157033, , , , , , , , , , Our Flirtations (Sousa), Fantasy on a Japanese Folk Song (Hazo), Spoon River (Grainger/Sheldon),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
13, 100-Concert Band, LEAGUE CITY INTERMEDIATE, TEA:, LEAGUE CITY, Rick Brockway,CCC,Varsity ,2020,158007, , , , , , , , , , The Thunderer (Sousa/Brion&Schissel), Appalachian Morning (17446)  (Sheldon), La Tregenda (18482)  (Puccini/Beck),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
14, 100-Concert Band, Manvel Junior High School, TEA:, Manvel," Ben Muths / Hannah Fry, Alex Kang",CCC,Varsity ,2020,157090, , , , , , , , , , Travelin� Music (21583)  (LaPlante), Fantasy on a Theme by Samual Barber (16681)  (Barber/Saucedo), War March of the Priests (Mendelssohn/Stalter),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
15, 100-Concert Band, McAdams Junior High, TEA:, Dickinson, John R Hinojosa,CCC,Varsity ,2020,160798, , , , , , , , , , Circus Days - Galop or March (Karl L. King), Heaven's Light (Reineke), Brave Spirit (Randall D. Standridge),DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
16, 100-Concert Band, Nolan Ryan Junior High, TEA:, Pearland," Beau Hunter / Michael Krueger, Lou Boldrighini",CC,Varsity ,2020,160502, , , , , , , , , , Homeward Bound March (Sousa), A Simple Song (17558)  (Bernstein/Sweeney)," Armenian Dances, Set I (567)  (Reed)",DATE of EVENT 04/22/2020 ,Region: 17,1. Jill Yancey,2. Any Bennett,3. Lisa Stiles,1. Ed Pagi;;a,2. Julie Amos,3. Meredith Bishop
