,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0, 100-Concert Band, Athens MS, TEA: 107-901-041, Athens," Andy Nguyen / Stephen Morman, Steven Reiss, Cheyenne Hernandez",CC,Non-Varsity ,2022,177795,3,3,3,3,1,2,1,1,2, The Thunderer (Michael Story), Fortis (17484)  (Gazlay), Qin Shis Stone Army (19600)  (Arcari),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
1, 100-Concert Band, Athens MS, TEA: 107-901-041, Athens," Steven Reiss / Andy Nguyen, Stephen Morman, Cheyenne Hernandez",CC,Varsity ,2022,177574,2,2,2,2,1,1,2,1,2, Darklands March (Standridge), Crusade (16224)  (Gassi), Phantom Ship (636)  (Del Borgo),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
2, 100-Concert Band, Beckville JH, TEA: 183901, Henderson, Michelle King / Josh King,C,Non-Varsity ,2022,175643,1,1,1,1,1,1,1,1,D, Brandy Station March  (Edmondson), Night Fury (20593)  (Chambers), Japanese Pictures (18467)  (Mixon),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
3, 100-Concert Band, Boulter Middle School, TEA: 212905041, Tyler," Karen Norman / Jimmie Williams, Daniel Gonzalez",CC,Non-Varsity A,2022,177923,1,1,1,1,1,1,1,1,D, March Primo (Dennis O. Eveland), Qin Shis Stone Army (19600) (Tyler Arcari), Conviction (18460) (Larry Clark),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
4, 100-Concert Band, Brownsboro MS, TEA: 440900, Brownsboro, Jake Ham,CC,Varsity ,2022,177809,1,2,1,1,1,1,1,1,C, Broken Bow (17500) (Strommen), Shadow of the Longship (20754) (Rath), Darklands March  (Randall Standridge ),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
5, 100-Concert Band, Brownsboro MS, TEA: 440900, Brownsboro," Jacob Pierce / Aaron Handorf, Jake Ham, Michelle Stuckey",CC,Non-Varsity ,2022,177780,2,1,1,1,1,2,1,1,D," All for One, One for All (Carol Brittin Chambers )", Summit Fanfare (17493)  (Owens), Fortis (17484)  (Gazlay),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
6, 100-Concert Band, Bullard Middle School, TEA: 212-902, Bullard," Sergio Olivares / Chris Murray, Gary Jordan, and Brent Farmer",CC,Non-Varsity ,2022,177195,1,1,1,1,1,1,1,1,D, Crosswinds March (Swearingen), Plaza de Toros (Story), Serengeti Dreams (Smith),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
7, 100-Concert Band, Bullard MS, TEA: 212-902, Bullard," Chris Murray / Sergio Olivares, Gary Jordan, Bent Farmer",CC,Varsity ,2022,177708,1,1,1,1,1,1,1,1,C, Bonds of Unity (King/Swearingen), Tanchozuru (20595)  (Standridge), Synchronized Energy (21566)  (Fhiaras),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
8, 100-Concert Band, Carthage JH, TEA: 183-902, Carthage, James Thomas / Jacob Laster,CC,Non-Varsity ,2022,177829,1,1,1,1,1,2,1,1,D, Plaza de Toros (20709)  (Story), Sakura (62)  (Traditional/Story), Dance Celebration (647)  (Smith),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
9, 100-Concert Band, Carthage JH, TEA: 183902, Cathage, Jacob Laster / James Thomas,CC,Varsity ,2022,177884,1,1,1,1,1,1,1,1,C, Winchester March (John Edmondson), As Twilight Falls (17497) (Sheldon), Red Giant (22327)  (Vargas),DATE of EVENT 04/21/2022 ,Region: 21,1. N-Benny Davis; S-Bene Davis,2. N-Scott Deppe; S-Mark Melton,3. N-Kristin Hames; S-Sarah Thompson,1. N-Ross Boothman; S-Shaka Hawkins,2. N-Rustin Honeycutt; S-David Ingram,3. N-Amber Moore; S-Brittany Robinett,
