"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-3-15218","Band","Air for Band","Erickson","","Bourne, Co.","3",""
"100-3-15303","Band","Symphonic Overture","Carter","","Carl Fischer, Inc.","3",""
"100-3-15319","Band","Spiritual (from Symphony No. 5 1/2)","Gillis","Bainum","Boosey & Hawkes, Inc.","3",""
"100-3-15368","Band","Declaration Overture","Smith","","Claude T. Smith Publications","3",""
"100-3-15371","Band","The Battle of Jericho","Spinney","","Belwin, Inc","3",""
"100-3-15374","Band","A Hymn for Band","Stuart","","Shawnee Press","3",""
"100-3-15393","Band","Four Quiet Pieces","Aitken","","Elkan-Vogel Company, Inc.","3",""
"100-3-15395","Band","English Dances, Set I","Arnold","Johnstone","Lengnick","3","(play two mvts)"
"100-3-15396","Band","English Dances, Set II","Arnold","Herbert","Lengnick","3","(play two mvts)"
"100-3-15397","Band","Four Scottish Dances","Arnold","Paynter","Carl Fischer, Inc.","3","(play two mvts)"
"100-3-15398","Band","Prelude, Siciliano and Rondo","Arnold","Paynter","Carl Fischer, Inc.","3","(play Siciliano & Rondo)"
"100-3-15402","Band","Jesu, Joy of Man's Desiring","Bach","Leidzen/Reed","Multiple Publishers;Carl Fischer, Inc.;C.L. Barnhouse Company","3",""
"100-3-15404","Band","Prelude and Fugue in Bb Major","Bach","Moehlmann","Belwin, Inc","3",""
"100-3-15405","Band","Prelude and Fugue in g minor","Bach","Moehlmann","Belwin, Inc","3",""
"100-3-15407","Band","Deir in De","Anon. or Trad.","Barker","C.L. Barnhouse Company","3",""
"100-3-15408","Band","Brookshire Suite","Barnes","","Belwin, Inc","3",""
"100-3-15410","Band","Cradlesong","Barton","","Daehn Publications","3",""
"100-3-15412","Band","Suite of Old American Dances","Bennett","","Hal Leonard Music, Inc.","3","(play two mvts)"
"100-3-15413","Band","Ginger Marmalade","Benson","","Carl Fischer, Inc.","3",""
"100-3-15414","Band","Candide Suite","Bernstein","Grundman","Hal Leonard Music, Inc.","3","(play two mvts)"
"100-3-15415","Band","Serenade","Bourgeois","","G&M Brand","3",""
"100-3-15416","Band","I Am","Boysen","","Neil A. Kjos Music Company","3",""
"100-3-15417","Band","Simple Song","Boysen","","Neil A. Kjos Music Company","3",""
"100-3-15418","Band","Blessed Are They","Brahms","Buehlman","Ludwig Music Publishing Company","3",""
"100-3-15421","Band","Three Preludes","Bruckner","Broege","Daehn Publications","3","(play two)"
"100-3-15422","Band","William Byrd Suite","Byrd","Jacob","Boosey & Hawkes, Inc.","3","(play two mvts)"
"100-3-15424","Band","Overture for Winds","Carter","","Bourne, Co.","3",""
"100-3-15425","Band","A Copland Tribute","Copland","Grundman","Boosey & Hawkes, Inc.","3",""
"100-3-15426","Band","Down a Country Lane","Copland","Patterson","Boosey & Hawkes, Inc.","3",""
"100-3-15428","Band","Black is the Color of My True Love's Hair","Curnow","","Hal Leonard Music, Inc.","3",""
"100-3-15430","Band","Variations on Scarborough Fair","Custer","","Hal Leonard Music, Inc.","3",""
"100-3-15431","Band","Procession of The Sardar","Ippolikov-Ivanov","Custer","Belwin, Inc","3",""
"100-3-15432","Band","As Summer Was Just Beginning","Daehn","","Daehn Publications","3",""
"100-3-15433","Band","Contrasto Grosso","de Haan","","De Haske Publications","3","(play all)"
"100-3-15434","Band","The Girl With The Flaxen Hair","Debussy","Brand","G&M Brand","3",""
"100-3-15435","Band","Adagio for Winds","Del Borgo","","Shawnee Press","3",""
"100-3-15436","Band","Caccia","Dello Joio","","Marks Music Corporation","3",""
